"","class","feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","feature_9","feature_10","feature_11","feature_12","feature_13","feature_14","feature_15","feature_16","feature_17","feature_18","feature_19","feature_20","feature_21","feature_22","feature_23","feature_24","feature_25","feature_26","feature_27","feature_28","feature_29","feature_30","feature_31","feature_32","feature_33","feature_34","feature_35","feature_36","feature_37","feature_38","feature_39","feature_40","feature_41","feature_42","feature_43","feature_44","feature_45","feature_46","feature_47","feature_48","feature_49","feature_50","feature_51","feature_52","feature_53","feature_54","feature_55","feature_56","feature_57","feature_58","feature_59","feature_60","feature_61","feature_62","feature_63","feature_64","feature_65","feature_66","feature_67","feature_68","feature_69","feature_70","feature_71","feature_72","feature_73","feature_74","feature_75","feature_76","feature_77","feature_78","feature_79","feature_80","feature_81","feature_82","feature_83","feature_84","feature_85","feature_86","feature_87","feature_88","feature_89","feature_90","feature_91","feature_92","feature_93","feature_94","feature_95","feature_96","feature_97","feature_98","feature_99","feature_100"
"sample_1","Class_A",4.38097730495857,5.47745798450034,4.92196264327971,6.42603585780802,5.55872262272432,3.61805225914936,3.52256961106331,5.34013392537923,5.08961817719065,5.89736751940384,5.91607087094396,5.18953666888557,7.84763467556752,5.99872488203419,5.95169301446189,4.53761834818794,4.5513126575234,5.19885735791112,5.75602076091958,4.60496966535572,6.71136435638395,4.88606379230935,4.5540889213917,5.71078025080791,5.71932478270082,5.14966987763943,5.19261295733722,4.55488165799967,4.21629140421946,4.65139494485603,5.31687438355661,5.06471487823352,5.38056212004434,4.82205964527186,3.09594393562082,6.43533012734753,5.76246516877509,5.13703651394841,5.87195103653982,5.53022325443025,5.18914683545084,3.81641680558813,7.01386671673847,4.75732154691123,4.70992777592858,3.66068940502097,5.73098900223051,5.35391748335003,6.2271331291467,5.14225613548197,5.17493953486668,5.10837772803136,4.27124842590003,3.7260262706338,4.71376838934135,4.97554724752596,3.96542900787374,5.05083025594303,5.69941217140957,3.78445810058163,5.61264403714999,3.37860132141687,5.31398609969549,5.34724593270604,4.68207817669106,6.46242866582242,5.84320913520282,4.29626055013516,4.52859982844905,4.09084303933883,4.6786957972712,4.8474157177503,5.60412886075184,6.25220096420767,6.42156354879406,3.9962678012682,4.97837638417957,5.85118418451288,5.70047356452931,5.87010007830349,6.05774074709479,4.24389769798068,5.6947492279997,3.62613577615058,5.09702001702765,6.79813380551694,5.51260670665062,6.36890384954026,5.80932603229003,4.90473200767017,4.1360984693579,6.15975675421912,6.70878681555857,4.81462843233179,4.89489134914728,3.39808505376252,5.26367156457138,7.50331513213084,5.95922852427437,4.22162953951524
"sample_2","Class_A",6.32292952067716,2.85045967760588,6.36495174459574,5.80152788602062,4.17379301371525,3.62196384802889,5.68500647932731,5.68608919608837,5.22337807726085,3.70164644498729,5.54277293426425,4.65454056435012,6.59757929766362,6.23688129566614,3.57685844461006,4.8458095852093,3.0959970178802,5.22382085958189,4.85658669705283,4.29425212955213,3.00826899429714,4.4015921421815,4.87391958888881,5.61853325846625,3.94455178151848,5.01323108142164,4.27105996098318,5.48917319559647,4.7721685843814,5.41948980603918,4.61202355084689,5.7629327081138,5.59991789087814,6.21252979460278,5.08167456345323,5.02355531509534,5.01552836183452,4.32862395674393,4.29477352944028,5.08607317243436,5.60921629123752,5.40362313494089,6.31189208127569,3.91183084381387,4.95343276168897,4.07186622544527,5.37711554887141,5.61858907473515,6.34351575846937,3.71367926361325,6.13039080118233,5.63033218473582,5.43768470335931,4.45713669346161,2.86618370191365,4.35970767129418,4.13697066767553,3.71466957535886,4.71810462433558,5.38191415312845,5.51798457127643,6.57111931073031,6.38664558194289,3.88042293309105,4.5353356208134,5.65117182291212,5.35131347200077,4.68215182415458,5.67047561786914,6.75032899466825,5.17914191650539,4.39973401839064,4.28206338032032,5.14744833053951,5.25267836684801,3.29861410833068,6.52473805260408,5.49689393693978,5.90672860462756,4.26838058046197,3.82851993231929,5.53412510227208,5.86537711463051,5.30974092294108,4.37674686314036,4.43982552601133,5.59015458448909,4.05157058621521,3.9780652750789,6.06453284117234,5.43426401259185,4.86554102215336,5.31269792604797,5.18399483464879,5.93104560821029,3.23360048911566,4.89035278613903,6.55466317534576,6.5618883224954,6.52223432007755
"sample_3","Class_A",5.17920067234327,4.9256133767838,6.06584477726829,5.5678207129417,4.89698604994883,4.61604159693267,4.66926357281944,5.1509106527262,5.28641618718528,5.56257640596436,3.47535323618893,5.81010792635369,3.83843797897542,4.85956421252461,3.64652689459567,5.03673368592917,5.93338327841896,4.39477490595866,5.84009569547648,3.59803077037204,3.79060670198853,4.0431853016205,3.82595261050943,3.78523909015426,4.88566382432617,4.53353886309432,5.52570148360955,6.35233425214782,3.07436283421306,4.70306409993348,5.0065799948266,4.73826607714679,6.01403399299048,5.89855126114032,3.78969994401792,6.60505815868074,4.70593371276346,5.99638925017556,5.59274406844901,6.93333702148075,7.03819693359561,6.48022446848871,4.43637491592023,4.79151890698568,5.47639132363735,5.11473113632144,3.68683665876916,4.71759009489142,5.25285705696184,5.10448193755207,6.65664335465698,6.51959553540937,5.88325427002066,4.1702598919379,4.48312380955523,4.68438137299319,4.47879393201552,5.70088972816533,4.7328689808798,3.69572512407884,4.54677602032026,4.45003523234976,5.17064741960457,6.74605729563133,3.62935302339132,4.59850766846963,4.932152820698,4.27182365635957,6.26575844152716,4.23007571554372,6.83753500858691,4.40719482946897,4.053623432294,6.01325543471014,5.12591566821553,4.44872846815589,3.3024942541863,4.99750469013338,5.08561781114219,5.36387076504121,3.99164269638122,3.67427806850669,5.07953067317286,6.73001489546533,5.35988006694622,6.18714021084311,5.45709887304591,5.45632874730864,5.0431585337044,6.54139745022871,4.52289071535071,5.76026461590264,4.55456610329755,5.54929598794048,4.20467826672544,2.81393599398514,6.8607248437405,5.57138111944926,5.61854644270681,5.63036218737534
"sample_4","Class_A",6.14818537490079,6.44956175215878,5.76638654438118,4.63855828899424,5.59251893582207,4.35790142836175,4.90212575091694,4.61289083492843,4.55159720319661,5.69168629693078,4.82695340807362,5.30369218254791,5.38192878952858,4.96770790053188,5.23189612388983,5.21692994952399,3.4947034594583,2.4412643899921,6.65718943929855,5.2716762959454,6.07894823513423,6.48147013703797,4.81289391076355,5.45619822714207,3.85825152577898,4.81906904275599,6.44833647433657,3.60870169611847,4.91057348844969,5.29084870398648,4.0430160718219,5.43007293544586,4.49794932769757,6.05890243409605,6.60613171667446,5.40989449056061,5.01052498149056,6.56114680268208,5.20529398981283,4.05937284075918,5.99296011588764,5.10404312353324,4.29268249520687,5.28002008026391,4.71524252250582,3.95553303988895,7.05465437924036,6.56584374771808,4.09815645195407,5.67651023746106,3.21377552461022,5.99808652908217,2.86075909123884,4.52210085150582,5.68137997359399,5.70942936143794,5.09194460162731,5.73301643411063,5.13397637026516,5.08614278452532,5.16142535902468,4.46320097376633,5.82982661543439,2.77704919311472,5.51187553578938,5.5865555993517,5.75652004153482,6.57955952145409,4.96981836177697,4.29432454226876,5.32423180433083,4.51103504823502,2.66474522373514,5.67254089903286,4.75644704105134,4.771386949723,6.4435420761344,5.14532142424761,3.10121051190683,4.76382290747042,4.90968011594594,5.0139074164278,3.11932737427106,4.53831699553096,4.55029688826337,6.8157680737453,4.17833195331737,4.8657200506734,4.19218336584127,5.76664413774645,5.03183484845509,4.76136592889147,2.8863699896945,4.40343277254845,4.9580734635346,5.48442430119251,4.30515301346327,4.89447116688594,4.25212687020658,5.39540448979079
"sample_5","Class_A",5.8442189898603,4.6311586696872,5.06514800622518,3.47247846098623,5.00093347862794,5.21303017041798,4.74721578291767,4.64727645504883,5.82061003238608,3.9798145672644,5.14831957264806,5.35315412839502,5.74944880322136,5.00920124338205,6.1056971647683,6.18737626470342,5.99554035657336,4.6760463914947,4.18720808247638,6.80492378765333,4.92651937390667,5.54132538499289,4.88208224170165,6.2147947033767,5.10361883398306,5.76623683438269,5.92397640481639,6.00992401100875,5.21752338719832,3.78754614107068,6.08377567712898,4.00806889760335,3.4593339807737,5.25074058626403,5.54077833630573,4.06020900344145,6.65392722093785,4.31971566951945,4.3502978224077,4.65886773112046,5.03302130974786,5.97178800274589,5.0157635779958,5.63709892672771,5.05645511723102,4.34862296461166,5.10422001758927,5.15408069972075,2.64429913827316,6.63636829515973,4.79851328338002,4.47165758523676,6.2100540338171,5.24291307714439,6.45731246062813,5.66694305780212,4.99296604437663,3.5923192266333,4.85133164290609,3.92585810102733,6.37272875436386,4.1096924798925,5.35883871925038,5.68046078270054,7.20800584898061,5.08515596816234,4.80330925076433,7.0935485815874,6.25503102408269,2.52117100121168,4.09663856341643,3.60079631797655,4.78123722295581,5.77816831472113,5.61394876117387,5.13690883749512,6.33358917430229,6.22821278748381,5.44731969278018,4.73186375139893,5.43278868489067,4.14176498076852,4.39224788936602,3.3854424039332,3.94418458155825,5.87301518776518,5.44532339273901,5.51783959345751,3.978115501944,1.98982223218517,5.81735203815701,4.99374458563364,5.55995188017668,6.72762929242855,5.84699336830565,4.75450905262698,3.19095243374116,6.8460085651514,5.71978809328612,3.31642311860543
"sample_6","Class_A",5.22018229393854,5.00690000271261,5.59864801652631,5.48197913274131,6.04248540267092,5.63342203769224,5.57084434800453,3.18800101616979,6.49355740596148,4.59508896372129,3.46748188795149,3.99124228994594,4.98708252784864,4.56922554482344,7.11286309403566,5.47904112046482,4.37258746444892,4.61960804336428,5.63738372262006,5.6218114146346,4.30786359182684,3.64218463881708,4.43506942552434,4.72426798490691,4.6746024119099,5.36050313736007,5.60527422804691,4.55118521297159,6.31392943149029,5.47927551611736,4.53031433842531,6.0535907676383,5.64501584375575,5.955833482528,4.634847199206,6.45592656061057,5.46408530640078,5.53729576324021,4.4563141465157,6.40672562125425,3.57731849540768,6.03842928433459,4.53318004937132,3.92623163410922,4.90069412619186,3.59875645658639,6.52219606189007,4.59520137553699,6.15914452594093,4.37543487516878,4.19824878065903,5.83465588540177,1.81410797615534,4.48612297336753,3.35146307835939,4.62353364750025,3.85234448396691,6.45674496921227,4.42626179331989,4.61599522253748,4.95892508245493,4.49103858551287,6.00470641411984,5.43211029365944,2.47274405649102,5.3386593472279,4.69574258913291,5.9483409320788,2.72567912381606,3.63074927141922,3.72174577229527,5.72937766904317,5.2971384232563,5.54629884480391,4.15041354111043,5.44998298699983,5.75129421367151,4.72717743634274,6.67912982271253,4.53289672250552,4.68048574629934,4.98897856422993,4.59107849847865,4.72539703642598,6.03049234919364,5.48164337603956,5.29079726347539,4.34261409806759,5.48544401126178,3.99346026226484,4.76976018174256,4.23860136089416,4.19817668581241,4.01626963102647,6.22304721743806,5.47877899765762,4.74622894986337,4.86806858457553,3.83329672741628,4.68860788734475
"sample_7","Class_A",5.23834481518862,3.06066894831829,6.01264005801676,5.86184872897893,6.43835146031804,3.86224543853369,3.70118175451665,3.10169762513492,5.13135313778992,4.60410800310936,4.2786853484391,4.89400814894807,3.66285229712255,4.51139969106434,5.03598432644857,5.98258042850543,4.16637896590957,5.29344981074192,3.97580129628243,5.75225247290923,4.42753862434145,4.977535620698,3.06669768728667,5.61794052054541,4.96367091291926,4.1310015259891,5.09893608406506,2.18366658259393,6.3378374701641,3.69592664236936,6.80263934968958,5.09553296459294,4.82553574016463,5.78855624957034,4.18800647601353,3.15364055973774,4.20302016985697,4.19438839249831,5.70780957468666,4.20948747389421,4.50754854667271,5.61140754996859,7.29198750521575,5.23304998953962,5.88034825736731,4.88336153223986,7.11866197420487,7.85641947054883,3.09739885059094,3.47219632310258,5.18178045658699,3.97086791491718,5.00735127728918,6.08172887958773,6.77555197114297,6.33018560210286,3.26629080697553,4.52045485203342,4.56011798712496,3.13689139521821,5.46693009781382,2.22773778019999,4.88698669146857,5.59768331896719,5.30104754037317,5.20490259844266,4.81883720239867,3.24508103850561,4.73232770977055,4.72063131946279,5.31527697468111,7.12337855693696,5.56440586699564,4.55777088086752,2.9897523834054,5.69877253417715,6.43066053778544,5.82224329900223,5.38617683507826,4.92890423029398,5.53226838907988,6.53222690946174,4.18447673963241,4.55965591004117,4.32891627725525,4.10180075537357,6.49045507803166,3.34164712257842,4.71581404145125,4.37210814597481,5.76144357165914,4.51953950472138,6.40211957234059,5.51973958986678,3.00217670721993,5.36580051944457,5.27665829932005,6.17109921212836,4.174097114492,3.43794440299927
"sample_8","Class_A",6.21225239116448,6.03101643065294,5.32503201964933,4.38294583287456,5.33085480607246,4.10863572717621,5.97996595994462,6.17998200076219,7.21639160874025,4.44471788814395,3.20907923578592,5.7239204159312,4.45084297971883,5.39274368008084,6.60174280518856,3.87776595313413,4.66477752836256,6.71279036429808,6.06438647581117,5.02097665794489,3.3558391649345,3.68669325371425,3.79489653197004,4.7805252436008,2.43296640208169,5.01884207944364,5.02039999072962,5.49330955571922,6.01182234154408,2.96889362491108,5.95633120568534,5.04951031176309,5.12610458481809,5.73507262376344,6.72841615343845,5.43646231894722,6.41132070157867,5.88102030481873,6.98672857022901,4.82493122006879,4.14060686015418,4.4330385420535,5.25503526930795,4.2607650197031,3.90247055071344,4.11333371094349,4.82969854356892,4.64284094551771,2.86261970936884,3.99740965013699,3.59409884265512,4.68446531357507,4.88093371699794,5.36728629538998,4.0614819885144,4.61844025863192,5.9851778090297,5.22766859596101,4.78080939410807,5.60582452386612,5.91610423081715,3.385034370078,5.4318651176413,4.28176043755038,5.62656207900508,6.9670889980575,5.61295984395274,5.27956877523657,3.93067643369037,4.52988020663104,6.42157200666705,4.89278811602813,3.53538670645943,6.74132598016252,3.3846256975467,4.18811574648545,5.44189256381373,6.79175749177898,4.82639466722815,4.45449419982626,5.02179009808059,5.18405989498259,6.32328070464826,4.16760861767779,3.77976791373506,3.80614320139515,5.70590409438346,6.07803880400766,6.67408251639585,4.97091676771911,5.00732052042184,3.71070476180291,4.75613873184329,3.20086776470961,6.38925230678114,3.81564724553776,5.20609310452532,4.61815688027398,6.72366047394196,4.95499719079268
"sample_9","Class_A",4.88058253723445,4.77938743393446,4.31293657041788,5.97905993421377,3.65797821590859,5.27402076614315,4.13416562012255,5.58836456095788,5.05807123018756,5.83095251833081,4.69481988430315,5.58671119098161,4.45668532751208,5.15824999921153,6.8526406749926,5.83814174166762,4.84486169215615,5.38809609127614,4.6843155736401,5.36865620303078,4.33954397316201,4.96484347425585,5.24224241098731,3.89886317048929,6.37726888371685,4.40910088458519,6.14968810872452,5.49756169358828,5.33770019816145,3.73657595494778,5.49506976298912,4.18812650536862,5.22260326062221,3.43950529958098,5.03284437517416,4.02017419520694,5.92530622592923,5.70455719508081,3.77241261159809,5.10693722060261,5.69726227837744,6.11948875013619,5.79438017794154,5.68664646721116,3.63979188935771,5.64961046295459,1.3652427522724,6.35422896039843,4.83038131275457,5.55321614695065,4.72906336231718,6.09150157921084,4.03163917648135,4.43756398251464,3.49606485284254,5.37905836873861,4.28444363345817,4.32326982483886,5.45303049421741,5.13742217181335,5.93072631768416,4.32478170789212,6.3650561104338,5.30382577995366,5.03156599328988,5.3985712448802,5.46163026209379,5.79905156676038,6.48242862892961,5.78190085412705,4.38927679487379,4.07919430327762,4.87360940242889,5.71572099269992,3.46023629845829,3.67219056013703,3.3468214954972,6.41559982660047,4.41305952747192,4.1296138854832,3.9197971947794,4.42708745314805,5.38289893058748,5.773505964024,7.01320164741023,4.43838942436785,4.6448758114667,4.30521690629534,4.75137613507992,4.42857753510311,5.63841079581421,4.15141011709524,4.80610397680608,5.0807626923223,4.43030042528495,6.07058136493914,4.30491234301566,3.18811713698784,6.7623854825839,4.65910384150717
"sample_10","Class_A",4.03080893531436,6.44980048024244,4.50205363946536,4.51592407547265,4.91045129455205,5.14593265804402,4.55281034123657,4.53663544923346,5.32940565266643,4.12929303242614,5.86659957992097,4.83684145852075,4.21684553553569,5.26805641644238,3.39843175219094,5.39070553341574,4.50662136917365,7.08668602382611,6.35072691795995,4.27366809519089,4.19520238873222,3.83656935079467,3.9035899382686,5.63421080133279,4.70892506011717,5.62652302731361,4.39205355359027,5.35946139231843,5.15599799384044,3.35843175515415,5.16598657923437,5.65112860644316,5.07833931062112,3.77889964827112,3.87912180208247,5.69938110486917,5.64943043358742,4.81907679045627,4.31603956387309,7.50007473048105,4.85010973100135,4.81838742537042,4.18438873204856,5.13778271292932,4.24222407859396,4.09616821058654,6.27795811981459,5.58281277749219,2.52049700392746,5.25047405630135,3.94466278355854,4.89454951403499,5.379587137045,4.11427110857189,4.59421841626526,5.4964872125372,4.08338108354669,4.0270885478179,4.78480908941447,3.65684628950264,5.03246039567739,4.86838631936231,6.62097236792868,5.15792457737394,5.36436191217497,2.86990794489882,3.01546140882287,5.01551172989549,7.55193919103539,5.89965237869099,5.48681627124487,5.56133428750264,5.37012462714517,4.33071991367978,6.29895024639472,4.77330338273402,3.93491735677931,5.29165786732165,5.04932895867341,4.92181900029582,4.98726803738122,5.62021881285573,5.25370884691608,5.12212075622664,4.62324815736099,6.14068204348441,3.48914628105983,4.52558213267336,4.71805511339327,5.60713686940734,5.11282188639762,6.63774811041065,4.77223956295986,5.83447275044417,6.39050257085816,5.29350914730972,5.30916444116561,3.84012929173939,4.55232534941869,5.45537093835419
